FK_Name,Table_Schema,Table_NamE,Column_Name,Ref_Schema,Ref_Table,Ref_Column
FK_Cajero_Dealer,dbo,Cajero,CodPais,dbo,Dealer,CodPais
FK_Cajero_Pais,dbo,Cajero,CodPais,dbo,Pais,CodPais
FK_Cajero_Dealer,dbo,Cajero,Dealer,dbo,Dealer,Codigo
FK_DetPlanilla_Empleado,dbo,DetPlanilla,CodPais,dbo,NominaEmpleado,CodPais
FK_DetPlanilla_Planilla,dbo,DetPlanilla,CodPais,dbo,Planilla,CodPais
FK_DetPlanilla_Empleado,dbo,DetPlanilla,Dealer,dbo,NominaEmpleado,Dealer
FK_DetPlanilla_Planilla,dbo,DetPlanilla,Dealer,dbo,Planilla,Dealer
FK_DetPlanilla_Planilla,dbo,DetPlanilla,Planilla,dbo,Planilla,Planilla
FK_DetPlanilla_Empleado,dbo,DetPlanilla,Empleado,dbo,NominaEmpleado,Numero
FK_ContratosCliente_Cliente,dbo,ContratosCliente,CodPais,dbo,Cliente,CodPais
FK_ContratosCliente_Cliente,dbo,ContratosCliente,Dealer,dbo,Cliente,Dealer
FK_ContratosCliente_Cliente,dbo,ContratosCliente,ClienteNo,dbo,Cliente,ClienteNo
FK_TelefonoCliente_Cliente,dbo,TelefonoCliente,CodPais,dbo,Cliente,CodPais
FK_TelefonoCliente_Cliente,dbo,TelefonoCliente,Dealer,dbo,Cliente,Dealer
FK_TelefonoCliente_Cliente,dbo,TelefonoCliente,ClienteNo,dbo,Cliente,ClienteNo
FK_GrupoProducto_Pais,dbo,GrupoProducto,CodPais,dbo,Pais,CodPais
FK_Planilla_TipoPlanilla,dbo,Planilla,CodPais,dbo,TipoPlanilla,CodPais
FK_Planilla_TipoPlanilla,dbo,Planilla,Dealer,dbo,TipoPlanilla,Dealer
FK_Planilla_TipoPlanilla,dbo,Planilla,TipoPlanilla,dbo,TipoPlanilla,Tipo
FK_DetLiqCajaChica_ComprasChica,dbo,DetLiqCajaChica,CodPais,dbo,ComprasChica,CodPais
FK_DetLiqCajaChica_ComprasChica,dbo,DetLiqCajaChica,Dealer,dbo,ComprasChica,Dealer
