TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
dbo,AaumSal,CodPais,char,NO
dbo,AaumSal,Dealer,int,NO
dbo,AaumSal,Empleado,int,NO
dbo,AaumSal,TipoAumento,char,NO
dbo,AaumSal,Autorizacion,bit,NO
dbo,AaumSal,SalarioAnterior,float,NO
dbo,AaumSal,NuevoSalario,float,NO
dbo,AaumSal,Fecha,datetime,NO
dbo,AaumSal,Aplicado,bit,NO
dbo,AbonoCuenta,CodPais,char,NO
dbo,AbonoCuenta,Dealer,int,NO
dbo,AbonoCuenta,Tda,char,NO
dbo,AbonoCuenta,SerieDoc,char,NO
dbo,AbonoCuenta,TipoDoc,char,NO
dbo,AbonoCuenta,DocNo,int,NO
dbo,AbonoCuenta,Fecha,datetime,NO
dbo,AbonoCuenta,Valor,decimal,NO
dbo,AbonoCuenta,ReciboCaja,char,NO
dbo,AbonoCuenta,FormaPago,char,NO
dbo,AbonoCuenta,ClienteNo,char,NO
dbo,AbonoCuenta,Concepto,varchar,NO
dbo,AbonoCuenta,Vendedor,char,NO
dbo,AbonoCuenta,Liquidacion,int,NO
dbo,AbonoCuenta,Usuario,char,NO
dbo,AbonoCuenta,Cajero,char,NO
dbo,AbonoCuenta,Banco,char,NO
dbo,AbonoCuenta,NoCuentaBanco,char,NO
dbo,AbonoCuenta,NoCheque,char,NO
dbo,AbonoCuenta,TipoCheque,smallint,NO
dbo,AbonoCuenta,Origen,char,NO
dbo,AbonoCuenta,FechaCobroPostfechado,datetime,NO
dbo,AbonoCuenta,ReciboIngreso,int,NO
dbo,AbonoCuenta,Cobrador,char,NO
dbo,AbonoCuenta,CorrID,int,NO
dbo,AbonoCuenta,Sucursal,char,NO
dbo,AbonoCuenta,TdaDoc,char,YES
dbo,AbonoCuenta,FechaCheque,datetime,YES
dbo,AbonoCuenta,PaisTransferencia,nchar,YES
dbo,AbonoCuenta,Impresa,bit,YES
dbo,AbonoCuenta,NombreRecpChq,char,YES
dbo,AbonoCuenta,SerieCheque,char,YES
dbo,AbonoCuenta,Referencia,char,YES
dbo,AbonoCuenta,ChqRec,int,NO
dbo,AbonoCuenta,idAbono,int,NO
dbo,AbonoImportacion,CodPais,char,NO
dbo,AbonoImportacion,Dealer,int,NO
dbo,AbonoImportacion,Tda,char,NO
dbo,AbonoImportacion,ImportacionNo,int,NO
dbo,AbonoImportacion,id,int,NO
dbo,AbonoImportacion,Proveedor,char,NO
dbo,AbonoImportacion,FacturaNo,char,NO
dbo,AbonoImportacion,Documento,char,NO
dbo,AbonoImportacion,Fecha,datetime,NO
dbo,AbonoImportacion,Valor,decimal,NO
dbo,AbonoImportacion,Concepto,char,NO
dbo,AbonoImportacion,Cheque,char,NO
dbo,AbonoImportacion,Partida,char,YES
dbo,AbonoImportacion,Cta,char,NO
dbo,AbonoImportacion,Serie,char,NO
dbo,AbonoImportacion,ChequeNo,int,NO
dbo,AbonoProveedor,CodPais,char,NO
dbo,AbonoProveedor,Dealer,int,NO
dbo,AbonoProveedor,Tda,char,NO
dbo,AbonoProveedor,Proveedor,char,NO
dbo,AbonoProveedor,SerieDoc,varchar,NO
dbo,AbonoProveedor,TipoDoc,char,NO
dbo,AbonoProveedor,DocNo,varchar,NO
dbo,AbonoProveedor,Fecha,datetime,NO
dbo,AbonoProveedor,Valor,float,NO
dbo,AbonoProveedor,Partida,char,NO
dbo,AbonoProveedor,Cheque,char,NO
dbo,AbonoProveedor,Concepto,char,NO
dbo,AbonoProveedor,Cta,char,NO
dbo,AbonoProveedor,SerieChq,char,NO
dbo,AbonoProveedor,ChequeNo,int,NO
dbo,AbonoProveedor,FormaPago,char,NO
dbo,AbonoProveedor,Usuario,char,NO
dbo,AccionPersonal,CodPais,char,NO
dbo,AccionPersonal,Dealer,smallint,NO
dbo,AccionPersonal,Empleado,int,NO
dbo,AccionPersonal,Fecha,datetime,NO
dbo,AccionPersonal,Tipo,smallint,NO
dbo,AccionPersonal,FechaInicio,datetime,NO
dbo,AccionPersonal,FechaFin,datetime,NO
dbo,AccionPersonal,FechaApl,datetime,NO
dbo,AccionPersonal,HoraApl,char,NO
dbo,AccionPersonal,Usuario,char,NO
dbo,AccionPersonal,Valor,float,NO
dbo,AccionPersonal,SolicitadoPor,char,NO
dbo,AccionPersonal,ValidadoPor,char,NO
dbo,AccionPersonal,Aplicado,bit,NO
dbo,AccionPersonal,PlanillaNo,int,NO
dbo,AccionPersonal,Descripcion,varchar,NO
dbo,ActividadEconomica,CodPais,char,NO
dbo,ActividadEconomica,Codigo,int,NO
dbo,ActividadEconomica,Descripcion,char,NO
dbo,ActivoFijo,CodPais,char,NO
dbo,ActivoFijo,Dealer,int,NO
dbo,ActivoFijo,Codigo,char,NO
dbo,ActivoFijo,Descripcion,char,NO
dbo,ActivoFijo,TipoActivo,char,NO
dbo,ActivoFijo,Ubicacion,smallint,NO
dbo,ActivoFijo,Porcentaje,real,NO
dbo,ActivoFijo,Fecha,datetime,NO
dbo,ActivoFijo,ValorOriginal,float,NO
dbo,ActivoFijo,DepAcumulada,float,NO
dbo,ActivoFijo,Revaluo,float,NO
dbo,ActivoFijo,Saldo,float,NO
dbo,ActivoFijo,Residual,float,NO
dbo,ActivoFijo,Estado,char,NO
dbo,ActivoFijo,Cantidad,float,NO
dbo,ActivoFijo,CuentaDepreciacion,char,NO
dbo,ActivoFijo,CuentaGasto,char,NO
dbo,ActivoFijo,Clase,char,NO
dbo,ActivoFijo,Proveedor,char,NO
dbo,ActivoFijo,Documento,char,NO
dbo,ActivoFijo,InicioDepreciacion,datetime,NO
dbo,ActivSoc,CodPais,char,NO
dbo,ActivSoc,Dealer,int,NO
dbo,ActivSoc,Codigo,int,NO
dbo,ActivSoc,Fecha,datetime,NO
dbo,ActivSoc,Descripcion,char,NO
dbo,ActPrecioAv,CodPais,char,NO
dbo,ActPrecioAv,Dealer,int,NO
dbo,ActPrecioAv,TipoCliente,smallint,NO
dbo,ActPrecioAv,Sublinea,char,NO
dbo,ActPrecioAv,Factor,int,NO
dbo,ActPrecioAv,TipoUnidad,char,NO
dbo,ActPrecioAv,Cantidad,int,NO
dbo,ActPrecioAv,Vigente,date,NO
dbo,ActPrecioAv,Reclasifica,smallint,NO
dbo,ActPrecioAv,Actualizar,bit,NO
dbo,ActPrecioAv,Activo,bit,NO
dbo,AdicionalDespacho,Codpais,char,NO
dbo,AdicionalDespacho,Dealer,smallint,NO
dbo,AdicionalDespacho,DespachoNo,int,NO
dbo,AdicionalDespacho,CodigoItem,char,NO
dbo,AdicionalDespacho,Cantidad,decimal,NO
dbo,AdicionalDespacho,PesoBruto,decimal,NO
dbo,AExcel,Usuario,char,NO
dbo,AExcel,Identidad,int,NO
dbo,AExcel,A,char,NO
dbo,AExcel,B,char,YES
dbo,AExcel,C,char,YES
dbo,AExcel,D,char,YES
dbo,AExcel,E,char,YES
dbo,AExcel,F,char,YES
dbo,AExcel,G,char,YES
dbo,AExcel,H,char,YES
dbo,AExcel,I,char,YES
dbo,AExcel,J,char,YES
dbo,AExcel,K,char,YES
dbo,AExcel,L,char,YES
dbo,AExcel,M,char,YES
dbo,AExcel,N,char,YES
dbo,AExcel,O,char,YES
dbo,AExcel,P,char,YES
dbo,AExcel,Q,char,YES
dbo,AExcel,R,char,YES
dbo,AExcel,S,char,YES
dbo,AExcel,T,char,YES
dbo,AExcel,U,char,YES
dbo,AExcel,V,char,YES
dbo,AExcel,W,char,YES
dbo,AExcel,X,char,YES
dbo,AExcel,Y,char,YES
dbo,AExcel,Z,char,YES
dbo,AExcel,AA,char,YES
dbo,AExcel,AB,char,YES
dbo,AExcel,AC,char,YES
dbo,AExcel,AD,char,YES
dbo,AExcel,AE,char,YES
dbo,AExcel,AF,char,YES
dbo,AExcel,AG,char,YES
dbo,AExcel,AH,char,YES
dbo,AExcel,AI,char,YES
dbo,AExcel,AJ,char,YES
dbo,AExcel,AK,char,YES
dbo,AExcel,AL,char,YES
dbo,AExcel,AM,char,YES
dbo,AExcel,AN,char,YES
dbo,AExcel,AO,char,YES
dbo,AExcel,AP,char,YES
dbo,AExcel,AQ,char,YES
dbo,AExcel,AR,char,YES
dbo,AExcel,AS1,char,YES
dbo,AExcel,AT,char,YES
dbo,AExcel,AU,char,YES
dbo,AExcel,AV,char,YES
dbo,AExcel,AW,char,YES
dbo,AExcel,AX,char,YES
dbo,AExcel,AY,char,YES
dbo,AExcel,AZ,char,YES
dbo,AExcel,BA,char,YES
dbo,AExcel,BB,char,YES
dbo,AExcel,BC,char,YES
dbo,AExcel,BD,char,YES
dbo,AExcel,BE,char,YES
dbo,AExcel,BF,char,YES
dbo,AExcel,BG,char,YES
dbo,AExcel,BH,char,YES
dbo,AExcel,BI,char,YES
dbo,AExcel,BJ,char,YES
dbo,AExcel,BK,char,YES
dbo,AExcel,BL,char,YES
dbo,AExcel,BM,char,YES
dbo,AExcel,BN,char,YES
dbo,AExcelLibros,Usuario,char,NO
dbo,AExcelLibros,Identidad,int,NO
dbo,AExcelLibros,A,char,NO
dbo,AExcelLibros,B,char,YES
dbo,AExcelLibros,C,char,YES
dbo,AExcelLibros,D,char,YES
dbo,AExcelLibros,E,char,YES
dbo,AExcelLibros,F,char,YES
dbo,AExcelLibros,G,char,YES
dbo,AExcelLibros,H,char,YES
dbo,AExcelLibros,I,char,YES
dbo,AExcelLibros,J,char,YES
dbo,AExcelLibros,K,char,YES
dbo,AExcelLibros,L,char,YES
dbo,AExcelLibros,M,char,YES
dbo,AExcelLibros,N,char,YES
dbo,AExcelLibros,O,char,YES
dbo,AExcelLibros,P,char,YES
dbo,AExcelLibros,Q,char,YES
dbo,AExcelLibros,R,char,YES
dbo,AExcelLibros,S,char,YES
dbo,AExcelLibros,T,char,YES
dbo,AExcelLibros,U,char,YES
dbo,AExcelLibros,V,char,YES
dbo,AExcelLibros,W,char,YES
dbo,AExcelLibros,X,char,YES
dbo,AExcelLibros,Y,char,YES
dbo,AExcelLibros,Z,char,YES
